antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
Sud Radio,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.183305619273611,2021-05-03
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.518472964572048,2021-05-03
France Inter,Christophe Castaner,"Président du groupe LREM à l'Assemblée nationale, ancien Ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.701666726982802,2021-05-03
Public Sénat,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.33968636416764,2021-05-03
LCI,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.141131197880397,2021-05-03
France Inter,Michel Barnier,Ancien ministre,Les Républicains,DROITE,8.313972768972231,2021-05-03
RTL,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.613418553676662,2021-05-03
France Info,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.479415936319376,2021-05-04
BFM TV,Pierre Liscia,Porte-parole de Libres,Libres,DROITE,8.734172376009585,2021-05-04
BFM TV,Jérôme Rivière,Député européen,Rassemblement national,EXT D,9.015180281248654,2021-05-04
LCP,Hervé Berville,Député des Côtes-d'Armor,La République en marche !,CENTRE (majorité),4.719627218331489,2021-05-04
Europe 1,Thierry Mariani,Député européen,Divers droite,DROITE,8.75825941562288,2021-05-04
CNews,Frédérique Dumas,Députée des Hauts-de-Seine,La République en marche !,CENTRE (majorité),4.20225797680291,2021-05-04
Public Sénat,Fabien Roussel,Membre du PCF,PCF,EXT G,1.6519513148491034,2021-05-04
CNews,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.640661004271164,2021-05-04
France Info,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.4142597269551196,2021-05-04
Public Sénat,Jérôme Bascher,Sénateur de l'Oise,Les Républicains,DROITE,8.463622508277375,2021-05-04
France 2,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.697137441209108,2021-05-04
Sud Radio,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.709503885334939,2021-05-04
RTL,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.581744272814628,2021-05-04
Europe 1,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.475206844751121,2021-05-04
RFI,Sandra Regol,Secrétaire national adjointe d'EELV,Europe écologie - Les Verts,GAUCHE,2.66221502862263,2021-05-04
RMC-BFM TV,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.799567711674774,2021-05-04
CNews,Serge Grouard,Ancien député du Loiret,Les Républicains,DROITE,8.339702186921166,2021-05-04
RMC,François Ruffin,Député de la Somme,La France insoumise,EXT G,1.4335673799402135,2021-05-04
CNews,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.491485698175707,2021-05-04
Le Figaro,Matthieu  Orphelin,Député du Maine-et-Loire,La République en marche !,CENTRE (majorité),4.476051027757844,2021-05-04
Public Sénat,Cécile Cukierman,Sénatrice de la Loire,PCF,EXT G,1.5307294326551413,2021-05-05
BFM TV,Jean-Lin Lacapelle,Député européen et conseiller régional d'Ile-de-France,Rassemblement national,EXT D,9.320965419248148,2021-05-05
BFM TV,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.187335640004467,2021-05-05
Le Figaro,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.3817164851306,2021-05-05
France Info,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.6974371045673693,2021-05-05
France Info,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.759950465321226,2021-05-05
France Inter,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.547140294192855,2021-05-05
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.792127465749939,2021-05-05
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.333620179632975,2021-05-05
France Info,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.629768529832404,2021-05-05
LCI,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.505760976666,2021-05-05
BFM TV,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.701220843675346,2021-05-05
CNews,Christophe Madrolle,Président de l'Union des centristes et écologistes,UCE,CENTRE,5.625978473930855,2021-05-05
Sud Radio,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.046166074175378,2021-05-05
Public Sénat,Julien Aubert,Député du Vaucluse,Les Républicains,DROITE,8.685788123214143,2021-05-05
CNews,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.30280599072867,2021-05-05
RTL,Christian Jacob,Député de Seine-et-Marne et Président du groupe Les Républicains à l'Assemblée nationale,Les Républicains,DROITE,8.44202674703004,2021-05-05
LCI,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.638471876061852,2021-05-05
RFI,Gilles Platret,Maire de Chalon-su-Saône et porte-parole des Républicains,Les Républicains,DROITE,8.486600528282445,2021-05-05
Radio Classique,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.091152651420172,2021-05-05
CNews,Jérôme Rivière,Député européen,Rassemblement national,EXT D,9.53422608559518,2021-05-06
RMC,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.293382195437154,2021-05-06
Le Figaro,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.378778874893638,2021-05-06
CNews,Philippe Goujon,Maire du 15e arrondissement de Paris,Les Républicains,DROITE,8.466441337020589,2021-05-06
CNews,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.3028524094911558,2021-05-06
France Info,Jean-Laurent Félizia,Tête de liste Europe Ecologie Les Verts aux élections régionales de 2021 en Provence-Alpes-Côte d?Azur,Europe écologie - Les Verts,GAUCHE,2.2503660824217873,2021-05-06
France Info,Dieynaba Diop,Porte-parole du Parti socialiste,Parti socialiste,GAUCHE,2.045542386351124,2021-05-06
RMC,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.781170632362378,2021-05-06
Europe 1,David Lisnard,Maire de Cannes et conseiller départemental des Alpes-Maritimes,Les Républicains,DROITE,8.557218505190418,2021-05-06
LCI,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.723486437020396,2021-05-06
CNews,Laurent Nuñez,Secrétaire d'État auprès du ministre de l'Intérieur,Divers,DIV,6.479032312236331,2021-05-06
Public Sénat,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.196632096083878,2021-05-06
Sud Radio,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.1974623314700457,2021-05-06
France 2,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.776742804700376,2021-05-06
Public Sénat,Cyril Pellevat,Sénateur de Haute-Savoie,Les Républicains,DROITE,8.788347223356133,2021-05-06
France Inter,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.491747235340817,2021-05-06
France Info,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.5854340788627053,2021-05-06
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.350769311012467,2021-05-06
LCI,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.5400534030268824,2021-05-07
LCP,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.056415000262628,2021-05-07
RMC-BFM TV,Audrey Pulvar,Adjointe au maire de Paris,Divers gauche,GAUCHE,2.0485232845274117,2021-05-07
France Info,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.544306980674852,2021-05-07
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.270999754297328,2021-05-07
France Inter,Caroline Janvier,Députée du Loiret,La République en marche !,CENTRE (majorité),4.282800094845869,2021-05-07
CNews,Florence Portelli,Conseillère régionale d'Ile-de-France et maire de Taverny,Les Républicains,DROITE,8.021423742175836,2021-05-07
Le Figaro,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.4006567930942975,2021-05-07
Europe 1,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.669741505827824,2021-05-07
LCP,Richard Ramos,Député du Loiret,MoDem,CENTRE,5.045443474650737,2021-05-07
Radio Classique,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.1890492315868375,2021-05-07
Public Sénat,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.123860050492025,2021-05-07
Sud Radio,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.222960052313219,2021-05-07
France 2,Jack Lang,Ancien ministre,Parti socialiste,GAUCHE,2.5063231753820006,2021-05-07
Public Sénat,Thani Mohamed Soilihi,Sénateur de Mayotte,La République en marche !,CENTRE (majorité),4.599103615751919,2021-05-07
France Info,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.6753834009733417,2021-05-07
France Info,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.661778879649841,2021-05-08
France Inter,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.710464914722229,2021-05-08
CNews,Jean-Lin Lacapelle,Député européen et conseiller régional d'Ile-de-France,Rassemblement national,EXT D,9.354964021257725,2021-05-08
Europe 1,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.576657571838484,2021-05-08
CNews,Céline Hervieu,Secrétaire nationale du Parti socialiste et conseillère de Paris,Parti socialiste,GAUCHE,2.6599441837275095,2021-05-08
CNews,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.587764474453229,2021-05-08
CNews,Zartoshte Bakhtiari,Maire de Neuilly sur Marne,Divers droite,DROITE,8.259921362181853,2021-05-08
CNews,Philippe Olivier,Député européen,Rassemblement national,EXT D,9.738249284492744,2021-05-08
CNews,Rudolph Granier,Conseiller du 18e arrondissement de Paris,Les Républicains,DROITE,8.697018096045916,2021-05-08
CNews,Prisca Thevenot,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.720428662413237,2021-05-08
CNews,Jean-Didier Berger,Maire de Clamart et porte-parole de Libres !,Les Républicains,DROITE,8.04075337352272,2021-05-08
LCI,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.182416041788311,2021-05-09
BFM TV,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.537077954068243,2021-05-09
CNews,Geoffroy Boulard,Maire du 17e arrondissement de Paris,Les Républicains,DROITE,8.025362974215785,2021-05-09
France Info,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.4479027146787176,2021-05-09
CNews,Paul Vannier,Porte-parole de la France insoumise,La France insoumise,EXT G,1.2291844973087505,2021-05-09
BFM TV,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.067345538039783,2021-05-09
CNews,Dieynaba Diop,Porte-parole du Parti socialiste,Parti socialiste,GAUCHE,2.7363878517044466,2021-05-09
CNews,Bruno Pomart,Maire de Belflou,Divers,DIV,6.453327085444599,2021-05-10
RMC,Philippe Ballard,Tête de liste du Rassemblement national aux élections régionales de 2021 à Paris,Rassemblement national,EXT D,9.624016838399337,2021-05-10
LCP,Laurent Fabius,"Ancien Premier ministre, Président du Conseil constitutionnel",Parti socialiste,GAUCHE,2.0204946312806915,2021-05-10
LCP,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.7658142828216663,2021-05-10
France Info,Manon Aubry,Députée européenne,La France insoumise,EXT G,1.3829287328053874,2021-05-10
LCI,Philippe Vigier,Député d'Eure-et-Loir,UDI,CENTRE DROIT,7.512837365562564,2021-05-10
CNews,Philippe Ballard,Tête de liste du Rassemblement national aux élections régionales de 2021 à Paris,Rassemblement national,EXT D,9.029486154158587,2021-05-10
CNews,Philippe Doucet,Ancien député du Val-d'Oise,Parti socialiste,GAUCHE,2.06495447226505,2021-05-10
France Inter,Jean Rottner,Président de la région Grand Est,Les Républicains,DROITE,8.31629775395263,2021-05-10
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.266288390668148,2021-05-10
CNews,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.603904162789728,2021-05-10
Le Figaro,Louis Giscard d'Estaing,Conseiller Régional Auvergne-Rhône-Alpes et maire de Chamalières,UDI,CENTRE DROIT,7.706299621633393,2021-05-10
LCP,Cécile Delpirou,Députée de la Somme,La République en marche !,CENTRE (majorité),4.114495423278004,2021-05-10
Radio Classique,Hubert Védrine,Ancien ministre des Affaires étrangères,Parti socialiste,GAUCHE,2.7094681595927295,2021-05-10
Public Sénat,Guillaume Gontard,Sénateur de l'Isère,Europe écologie - Les Verts,GAUCHE,2.123686336234493,2021-05-10
France 2,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.374852842080257,2021-05-10
Sud Radio,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.66123204964396,2021-05-10
Public Sénat,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.3270158977864215,2021-05-10
LCI,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.7250813919359738,2021-05-10
France Inter,François Hollande,Ancien Président de la République,Parti socialiste,GAUCHE,2.3230075996148205,2021-05-10
RFI,Jean-Marc Ayrault,Ancien Premier ministre,Parti socialiste,GAUCHE,2.4465454997672462,2021-05-10
RMC-BFM TV,Fabien Roussel,Membre du PCF,PCF,EXT G,1.0172374098270258,2021-05-10
LCP,Robert Therry,Député du Pas-de-Calais,Les Républicains,DROITE,8.154311738225822,2021-05-10
France Info,Ugo Bernalicis,Député du Nord,La France insoumise,EXT G,1.1388559846380233,2021-05-10
CNews,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.632774450141849,2021-05-10
RMC-BFM TV,Fabien Roussel,Membre du PCF,PCF,EXT G,1.5518773814654523,2021-05-11
RFI,Louis Aliot,Député européen,Rassemblement national,EXT D,9.292522009914954,2021-05-11
France Info,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.2381194263578275,2021-05-11
France Info,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.761620983679181,2021-05-11
Le Figaro,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.418409490387584,2021-05-11
CNews,Serge Grouard,Ancien député du Loiret,Les Républicains,DROITE,8.090772991057682,2021-05-11
RMC,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.69242648670075,2021-05-11
CNews,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.576515286021548,2021-05-11
France Inter,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.139667698586387,2021-05-11
LCI,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.523023302569998,2021-05-11
Public Sénat,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.50455330176972,2021-05-11
France Inter,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.151927944972973,2021-05-11
Sud Radio,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.7747054916624503,2021-05-11
