id_circo,nom,groupe_sigle,parti_ratt_financier
92002,Bénédicte Pételle,LREM,La République en Marche
38001,Camille Galliard-Minier,LREM,La République en Marche
ZW001,Sylvain Brial,LT,Régions et peuples solidaires
80002,Cécile Delpirou,LREM,La République en Marche
91006,Stéphanie Atger,LREM,La République en Marche
07002,Michèle Victory,SOC,Parti socialiste
66002,Catherine Pujol,NI,Rassemblement national
95001,Antoine Savignat,LR,Les Républicains
74002,Jacques Rey,LREM,
72004,Sylvie Tolmont,SOC,Parti socialiste
77003,Jean-Louis Thiériot,LR,Les Républicains
ZD007,Jean-Luc Poudroux,LR,Les Républicains
14003,Nathalie Porte,LR,Les Républicains
ZB002,Manuéla Kéclard-Mondésir,GDR,Parti communiste français
77005,Patricia Lemoine,AE,Mouvement Démocrate
05002,Claire Bouchet,LREM,La République en Marche
41003,Pascal Brindeau,UDI,"Union des démocrates, radicaux et libéraux"
86001,Françoise Ballet-Blu,LREM,La République en Marche
ZZ005,Stéphane Vojetta,LREM,La République en Marche
77002,Sylvie Bouchet Bellecourt,LR,Les Républicains
84001,Souad Zitouni,LREM,La République en Marche
35003,Claudia Rouaux,SOC,Parti socialiste
